2.60 ,1360.00 ,150.00 ,11.90 ,1046.00 ,166.00 ,1056.00 ,113.00 ,1692.00 ,1268.00 ,13.60 ,48.90 ,0.76 
2.00 ,1292.00 ,112.00 ,9.40 ,955.00 ,103.00 ,1174.00 ,92.00 ,1559.00 ,972.00 ,13.30 ,47.70 ,0.73 
2.20 ,1402.00 ,88.00 ,9.00 ,939.00 ,131.00 ,1140.00 ,114.00 ,1555.00 ,1074.00 ,11.90 ,54.00 ,0.75 
2.20 ,1376.00 ,80.00 ,9.20 ,948.00 ,172.00 ,1092.00 ,122.00 ,1584.00 ,1203.00 ,11.00 ,60.00 ,0.79 
1.60 ,1272.00 ,51.00 ,6.50 ,836.00 ,131.00 ,1205.00 ,116.00 ,1490.00 ,1110.00 ,11.20 ,59.60 ,0.79 
1.20 ,1197.00 ,38.00 ,4.70 ,750.00 ,89.00 ,1337.00 ,96.00 ,1393.00 ,949.00 ,11.20 ,59.20 ,0.78 
1.20 ,1185.00 ,31.00 ,3.60 ,690.00 ,62.00 ,1462.00 ,77.00 ,1333.00 ,733.00 ,11.30 ,56.80 ,0.76 
1.00 ,1136.00 ,31.00 ,3.30 ,672.00 ,62.00 ,1453.00 ,76.00 ,1333.00 ,730.00 ,10.70 ,60.00 ,0.77 
0.90 ,1094.00 ,24.00 ,2.30 ,609.00 ,45.00 ,1579.00 ,60.00 ,1276.00 ,620.00 ,10.70 ,59.70 ,0.76 
0.60 ,1010.00 ,19.00 ,1.70 ,561.00 ,-200.00 ,1705.00 ,-200.00 ,1235.00 ,501.00 ,10.30 ,60.20 ,0.75 
-200.00 ,1011.00 ,14.00 ,1.30 ,527.00 ,21.00 ,1818.00 ,34.00 ,1197.00 ,445.00 ,10.10 ,60.50 ,0.75 
0.70 ,1066.00 ,8.00 ,1.10 ,512.00 ,16.00 ,1918.00 ,28.00 ,1182.00 ,422.00 ,11.00 ,56.20 ,0.74 
0.70 ,1052.00 ,16.00 ,1.60 ,553.00 ,34.00 ,1738.00 ,48.00 ,1221.00 ,472.00 ,10.50 ,58.10 ,0.74 
1.10 ,1144.00 ,29.00 ,3.20 ,667.00 ,98.00 ,1490.00 ,82.00 ,1339.00 ,730.00 ,10.20 ,59.60 ,0.74 
2.00 ,1333.00 ,64.00 ,8.00 ,900.00 ,174.00 ,1136.00 ,112.00 ,1517.00 ,1102.00 ,10.80 ,57.40 ,0.74 
2.20 ,1351.00 ,87.00 ,9.50 ,960.00 ,129.00 ,1079.00 ,101.00 ,1583.00 ,1028.00 ,10.50 ,60.60 ,0.77 
1.70 ,1233.00 ,77.00 ,6.30 ,827.00 ,112.00 ,1218.00 ,98.00 ,1446.00 ,860.00 ,10.80 ,58.40 ,0.76 
1.50 ,1179.00 ,43.00 ,5.00 ,762.00 ,95.00 ,1328.00 ,92.00 ,1362.00 ,671.00 ,10.50 ,57.90 ,0.74 
1.60 ,1236.00 ,61.00 ,5.20 ,774.00 ,104.00 ,1301.00 ,95.00 ,1401.00 ,664.00 ,9.50 ,66.80 ,0.80 
1.90 ,1286.00 ,63.00 ,7.30 ,869.00 ,146.00 ,1162.00 ,112.00 ,1537.00 ,799.00 ,8.30 ,76.40 ,0.84 
2.90 ,1371.00 ,164.00 ,11.50 ,1034.00 ,207.00 ,983.00 ,128.00 ,1730.00 ,1037.00 ,8.00 ,81.10 ,0.87 
2.20 ,1310.00 ,79.00 ,8.80 ,933.00 ,184.00 ,1082.00 ,126.00 ,1647.00 ,946.00 ,8.30 ,79.80 ,0.88 
2.20 ,1292.00 ,95.00 ,8.30 ,912.00 ,193.00 ,1103.00 ,131.00 ,1591.00 ,957.00 ,9.70 ,71.20 ,0.86 
2.90 ,1383.00 ,150.00 ,11.20 ,1020.00 ,243.00 ,1008.00 ,135.00 ,1719.00 ,1104.00 ,9.80 ,67.60 ,0.82 
4.80 ,1581.00 ,307.00 ,20.80 ,1319.00 ,281.00 ,799.00 ,151.00 ,2083.00 ,1409.00 ,10.30 ,64.20 ,0.81 
6.90 ,1776.00 ,461.00 ,27.40 ,1488.00 ,383.00 ,702.00 ,172.00 ,2333.00 ,1704.00 ,9.70 ,69.30 ,0.83 
6.10 ,1640.00 ,401.00 ,24.00 ,1404.00 ,351.00 ,743.00 ,165.00 ,2191.00 ,1654.00 ,9.60 ,67.80 ,0.81 
3.90 ,1313.00 ,197.00 ,12.80 ,1076.00 ,240.00 ,957.00 ,136.00 ,1707.00 ,1285.00 ,9.10 ,64.00 ,0.74 
1.50 ,965.00 ,61.00 ,4.70 ,749.00 ,94.00 ,1325.00 ,85.00 ,1333.00 ,821.00 ,8.20 ,63.40 ,0.69 
1.00 ,913.00 ,26.00 ,2.60 ,629.00 ,47.00 ,1565.00 ,53.00 ,1252.00 ,552.00 ,8.20 ,60.80 ,0.67 
1.70 ,1080.00 ,55.00 ,5.90 ,805.00 ,122.00 ,1254.00 ,97.00 ,1375.00 ,816.00 ,8.30 ,58.50 ,0.64 
1.90 ,1044.00 ,53.00 ,6.40 ,829.00 ,133.00 ,1247.00 ,110.00 ,1378.00 ,832.00 ,7.70 ,59.70 ,0.63 
1.40 ,988.00 ,40.00 ,4.10 ,718.00 ,82.00 ,1396.00 ,91.00 ,1304.00 ,692.00 ,7.10 ,61.80 ,0.63 
0.80 ,889.00 ,21.00 ,1.90 ,574.00 ,-200.00 ,1680.00 ,-200.00 ,1187.00 ,512.00 ,7.00 ,62.30 ,0.63 
-200.00 ,831.00 ,10.00 ,1.10 ,506.00 ,21.00 ,1893.00 ,32.00 ,1134.00 ,384.00 ,6.10 ,65.90 ,0.62 
0.60 ,847.00 ,7.00 ,1.00 ,501.00 ,30.00 ,1895.00 ,44.00 ,1155.00 ,394.00 ,6.30 ,65.00 ,0.62 
0.80 ,927.00 ,17.00 ,1.80 ,571.00 ,56.00 ,1685.00 ,71.00 ,1223.00 ,487.00 ,6.80 ,62.90 ,0.62 
1.40 ,1091.00 ,33.00 ,4.40 ,730.00 ,109.00 ,1387.00 ,104.00 ,1361.00 ,748.00 ,6.40 ,65.10 ,0.63 
4.40 ,1587.00 ,202.00 ,17.90 ,1236.00 ,307.00 ,897.00 ,141.00 ,1900.00 ,1400.00 ,7.30 ,63.10 ,0.65 
-200.00 ,1545.00 ,-200.00 ,22.10 ,1353.00 ,-200.00 ,767.00 ,-200.00 ,2058.00 ,1588.00 ,9.20 ,56.20 ,0.66 
3.10 ,1350.00 ,208.00 ,14.00 ,1118.00 ,187.00 ,912.00 ,122.00 ,1712.00 ,1237.00 ,13.20 ,41.70 ,0.63 
